regionSeg1,productSeg2,regionSeg2,productSeg3,yearweek,qty_mean,ma
A01,PG01,SALESID0001,ITEM0001,201301,1.6,
A01,PG01,SALESID0001,ITEM0001,201302,2.0,
A01,PG01,SALESID0001,ITEM0001,201303,1.0,
A01,PG01,SALESID0001,ITEM0001,201304,2.0,
A01,PG01,SALESID0001,ITEM0001,201305,2.75,
A01,PG01,SALESID0001,ITEM0001,201306,2.0,
A01,PG01,SALESID0001,ITEM0001,201307,2.75,
A01,PG01,SALESID0001,ITEM0001,201308,1.0,1.6344444444444446
A01,PG01,SALESID0001,ITEM0001,201309,1.5,1.7277777777777779
A01,PG01,SALESID0001,ITEM0001,201310,1.25,1.6833333333333333
A01,PG01,SALESID0001,ITEM0001,201311,1.5,1.6833333333333333
A01,PG01,SALESID0001,ITEM0001,201312,1.0,1.65
A01,PG01,SALESID0001,ITEM0001,201313,1.6666666666666667,1.6333333333333333
A01,PG01,SALESID0001,ITEM0001,201314,1.5,1.6666666666666667
A01,PG01,SALESID0001,ITEM0001,201315,1.0,1.6166666666666667
A01,PG01,SALESID0001,ITEM0001,201316,3.0,1.6166666666666667
A01,PG01,SALESID0001,ITEM0001,201317,1.3333333333333333,1.65
A01,PG01,SALESID0001,ITEM0001,201318,1.0,1.74
A01,PG01,SALESID0001,ITEM0001,201319,1.5,1.8066666666666669
A01,PG01,SALESID0001,ITEM0001,201320,2.5,2.02
A01,PG01,SALESID0001,ITEM0001,201321,2.5,2.125555555555555
A01,PG01,SALESID0001,ITEM0001,201322,2.0,2.0922222222222215
A01,PG01,SALESID0001,ITEM0001,201323,1.0,2.0922222222222215
A01,PG01,SALESID0001,ITEM0001,201324,2.0,1.9588888888888885
A01,PG01,SALESID0001,ITEM0001,201325,2.6,1.9366666666666663
A01,PG01,SALESID0001,ITEM0001,201326,2.5,1.9366666666666663
A01,PG01,SALESID0001,ITEM0001,201327,4.2,1.9033333333333329
A01,PG01,SALESID0001,ITEM0001,201328,3.25,1.8699999999999997
A01,PG01,SALESID0001,ITEM0001,201329,1.0,2.7833333333333328
A01,PG01,SALESID0001,ITEM0001,201330,1.0,3.2899999999999996
A01,PG01,SALESID0001,ITEM0001,201439,1.0,4.1033333333333335
A01,PG01,SALESID0001,ITEM0001,201451,1.0,5.25
A01,PG01,SALESID0001,ITEM0001,201538,1.0,5.983333333333333
A01,PG01,SALESID0001,ITEM0001,201548,1.0,6.843333333333334
A01,PG01,SALESID0001,ITEM0001,201549,2.0,8.15
A01,PG01,SALESID0001,ITEM0002,201301,16.2,9.573333333333332
A01,PG01,SALESID0001,ITEM0002,201302,9.6,10.133333333333333
A01,PG01,SALESID0001,ITEM0002,201303,13.2,11.053333333333335
A01,PG01,SALESID0001,ITEM0002,201304,19.2,12.213333333333335
A01,PG01,SALESID0001,ITEM0002,201305,13.6,13.000000000000002
A01,PG01,SALESID0001,ITEM0002,201306,15.4,13.693333333333335
A01,PG01,SALESID0001,ITEM0002,201307,23.8,14.160000000000002
A01,PG01,SALESID0001,ITEM0002,201308,24.6,14.973333333333334
A01,PG01,SALESID0001,ITEM0002,201309,9.4,15.106666666666667
A01,PG01,SALESID0001,ITEM0002,201310,14.8,15.666666666666668
A01,PG01,SALESID0001,ITEM0002,201311,18.4,15.70666666666667
A01,PG01,SALESID0001,ITEM0002,201312,12.8,15.693333333333337
A01,PG01,SALESID0001,ITEM0002,201313,11.4,16.173333333333336
A01,PG01,SALESID0001,ITEM0002,201314,8.0,17.240000000000006
A01,PG01,SALESID0001,ITEM0002,201315,14.2,18.280000000000005
A01,PG01,SALESID0001,ITEM0002,201316,18.2,17.386666666666667
A01,PG01,SALESID0001,ITEM0002,201317,18.0,17.54666666666667
A01,PG01,SALESID0001,ITEM0002,201318,13.8,18.86666666666667
A01,PG01,SALESID0001,ITEM0002,201319,19.0,21.120000000000005
A01,PG01,SALESID0001,ITEM0002,201320,20.8,24.733333333333338
