regionSeg1,productSeg2,regionSeg2,productSeg3,yearweek,,qty_mean,ma,MA2
A01,PG01,SALESID0001,ITEM0001,201301,0,1.6,,1.6
A01,PG01,SALESID0001,ITEM0001,201302,0,2.0,,2.0
A01,PG01,SALESID0001,ITEM0001,201303,0,1.0,,1.0
A01,PG01,SALESID0001,ITEM0001,201304,0,2.0,,2.0
A01,PG01,SALESID0001,ITEM0001,201305,0,2.75,,2.75
A01,PG01,SALESID0001,ITEM0001,201306,0,2.0,,2.0
A01,PG01,SALESID0001,ITEM0001,201307,0,2.75,,2.75
A01,PG01,SALESID0001,ITEM0001,201308,0,1.0,1.6344444444444446,1.0
A01,PG01,SALESID0001,ITEM0001,201309,0,1.5,1.7277777777777779,1.5
A01,PG01,SALESID0001,ITEM0001,201310,0,1.25,1.6833333333333333,1.25
A01,PG01,SALESID0001,ITEM0001,201311,0,1.5,1.6833333333333333,1.5
A01,PG01,SALESID0001,ITEM0001,201312,0,1.0,1.65,1.0
A01,PG01,SALESID0001,ITEM0001,201313,0,1.6666666666666667,1.6333333333333333,1.6666666666666667
A01,PG01,SALESID0001,ITEM0001,201314,0,1.5,1.6666666666666667,1.5
A01,PG01,SALESID0001,ITEM0001,201315,0,1.0,1.6166666666666667,1.0
A01,PG01,SALESID0001,ITEM0001,201316,0,3.0,1.6166666666666667,3.0
A01,PG01,SALESID0001,ITEM0001,201317,0,1.3333333333333333,1.65,1.3333333333333333
A01,PG01,SALESID0001,ITEM0001,201318,0,1.0,1.74,1.0
A01,PG01,SALESID0001,ITEM0001,201319,0,1.5,1.8066666666666669,1.5
A01,PG01,SALESID0001,ITEM0001,201320,0,2.5,2.02,2.5
A01,PG01,SALESID0001,ITEM0001,201321,0,2.5,2.125555555555555,2.5
A01,PG01,SALESID0001,ITEM0001,201322,0,2.0,2.0922222222222215,2.0
A01,PG01,SALESID0001,ITEM0001,201323,0,1.0,2.0922222222222215,1.0
