,deposit,stock,label,PREDICT
0,1650000000,58000000,diamond,diamond
1,1350000000,52000000,normal,normal
2,1490000000,76000000,diamond,diamond
3,1280000000,41000000,normal,normal
4,1850000000,46000000,diamond,diamond
5,1310000000,78000000,diamond,diamond
6,1990000000,53000000,vip,vip
7,1240000000,63000000,normal,normal
8,1790000000,68000000,diamond,diamond
9,1420000000,63000000,diamond,diamond
10,1570000000,74000000,diamond,diamond
11,1420000000,47000000,normal,normal
12,1800000000,48000000,diamond,diamond
13,1400000000,41000000,normal,normal
14,1700000000,73000000,diamond,diamond
15,1980000000,47000000,diamond,diamond
16,1470000000,75000000,diamond,diamond
17,1920000000,73000000,vip,vip
18,1630000000,44000000,diamond,diamond
19,1960000000,80000000,vip,vip
20,1760000000,65000000,diamond,diamond
21,1860000000,51000000,diamond,diamond
22,1900000000,65000000,vip,vip
23,1460000000,80000000,diamond,diamond
24,1910000000,48000000,diamond,diamond
25,1340000000,65000000,normal,normal
26,1520000000,59000000,diamond,diamond
27,1660000000,45000000,diamond,diamond
28,1930000000,57000000,diamond,diamond
29,1330000000,70000000,diamond,diamond
30,1510000000,79000000,diamond,diamond
31,1500000000,41000000,normal,normal
32,1540000000,52000000,diamond,diamond
33,1370000000,51000000,normal,normal
34,1810000000,49000000,diamond,diamond
35,1460000000,69000000,diamond,diamond
36,1640000000,68000000,diamond,diamond
37,1540000000,71000000,diamond,diamond
38,1550000000,54000000,diamond,diamond
39,1570000000,62000000,diamond,diamond
40,1310000000,38000000,normal,normal
41,1280000000,76000000,diamond,diamond
42,1420000000,70000000,diamond,diamond
43,1910000000,69000000,vip,vip
44,1890000000,59000000,diamond,diamond
45,1750000000,58000000,diamond,diamond
46,1450000000,37000000,normal,normal
47,1580000000,36000000,normal,normal
48,1590000000,72000000,diamond,diamond
49,1940000000,56000000,diamond,diamond
50,1760000000,79000000,vip,vip
51,1830000000,71000000,vip,vip
52,1510000000,61000000,diamond,diamond
53,1800000000,59000000,diamond,diamond
54,1250000000,45000000,normal,normal
55,1950000000,74000000,vip,vip
56,1320000000,66000000,normal,normal
57,1910000000,45000000,diamond,diamond
58,1250000000,68000000,normal,normal
59,1540000000,42000000,normal,normal
60,1860000000,36000000,diamond,diamond
61,1240000000,67000000,normal,normal
62,1570000000,40000000,normal,normal
63,1820000000,69000000,vip,vip
64,1900000000,43000000,diamond,diamond
65,1690000000,36000000,diamond,diamond
66,1940000000,38000000,diamond,diamond
67,1920000000,65000000,vip,vip
68,1940000000,67000000,vip,vip
69,1530000000,70000000,diamond,diamond
70,1660000000,39000000,diamond,diamond
71,1700000000,62000000,diamond,diamond
72,1570000000,55000000,diamond,diamond
73,1530000000,79000000,diamond,diamond
74,1750000000,44000000,diamond,diamond
75,1820000000,49000000,diamond,diamond
76,1790000000,53000000,diamond,diamond
77,1440000000,72000000,diamond,diamond
78,1740000000,37000000,diamond,diamond
79,1340000000,42000000,normal,normal
80,1670000000,70000000,diamond,diamond
81,1540000000,36000000,normal,normal
